Name,Symbol
DCB Bank Limited,DCBBANK.NS
Deepak Builders & Engineers India Limited,DBEIL.NS
Deepak Nitrite Limited,DEEPAKNTR.NS
Delhivery Limited,DELHIVERY.NS
Dhampur Sugar Mills Limited,DHAMPURSUG.NS
Diamond Power Infrastructure Limited,DIACABS.NS
Divi's Laboratories Limited,DIVISLAB.NS
Dixon Technologies (India) Limited,DIXON.NS
Dr. Reddy's Laboratories Limited,DRREDDY.NS
Emcure Pharmaceuticals Ltd,EMCURE.NS
Equitas Bank,EQUITASBNK.NS
Eternal,ETERNAL.NS
Federal Bank,FEDERALBNK.NS
GM Airport Infra,GMRAIRPORT.NS
Gold Bees,GOLDBEES.NS
Groww Liquid Fund,GROWW.NS
HCL Technologies,HCLTECH.NS
HDFC Bank,HDFCBANK.NS
HINDALCO,HINDALCO.NS
Hindustan Aeronautics,HAL.NS
Hindustan Unilever,HINDUNILVR.NS
Hudco,HUDCO.NS
ICICI Bank,ICICIBANK.NS
ICICI Prudential Nifty 100 ETF,NIF100IETF.NS
ICICI Prudential Nifty Next 50 ETF,NEXT50IETF.NS
IDFC,IDFCFIRSTB.NS
Indian Overseas Bank,IOB.NS
INDIGO,INDIGO.NS
Infosys,INFY.NS
Infra Bees,INFRABEES.NS
Inox Wind,INOXWIND.NS
Ircon International Ltd,IRCON.NS
IREDA,IREDA.NS
IRFC,IRFC.NS
ITC,ITC.NS
ITC Hotels,ITCHOTELS.NS
Jio Finance,JIOFIN.NS
Jubilant Foodworks Ltd,JUBLFOOD.NS
Junior Bees,JUNIORBEES.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Larsen & Toubro,LT.NS
Liquid Bees,LIQUIDBEES.NS
Liquid Case,LIQUIDCASE.NS
Lloyds Metals And Energy Ltd,LLOYDSME.NS
Marico,MARICO.NS
Maruti Suzuki,MARUTI.NS
Medanta,MEDANTA.NS
Medi Assist,MEDIASSIST.NS
MID 150 Case,MID150CASE.NS
Mid Cap ETF,MIDCAPETF.NS
Minda Corporation,MINDACORP.NS
Motherson SUMI,MOTHERSON.NS
National Aluminium,NATIONALUM.NS
NBCC,NBCC.NS
NESTLE,NESTLEIND.NS
Netweb Technology,NETWEB.NS
Network 18,NETWORK18.NS
Nippon India ETF Nifty 50 BeES,NIFTYBEES.NS
Nippon India ETF Nifty Bank BeES,BANKBEES.NS
Nippon India ETF Nifty Midcap 150,MID150BEES.NS
Nippon India ETF Nifty PSU Bank BeES,PSUBNKBEES.NS
Nippon India Nifty Pharma ETF,PHARMABEES.NS
Nippon India Silver ETF,SILVERBEES.NS
NTPC,NTPC.NS
Oil & Natural Gas Corpn Ltd,ONGC.NS
Oil India Limited,OIL.NS
Pennar Industries Ltd,PENIND.NS
Phoenix Mills Ltd,PHOENIXLTD.NS
Piramal Finance Ltd,PIRAMALFIN.NS
Power Finance Corporation Ltd,PFC.NS
Power Grid Corporation of India Ltd,POWERGRID.NS
Power Grid Corporation of India Ltd,POWERGRID.NS
Pricol Ltd,PRICOLLTD.NS
RBL Bank Ltd,RBLBANK.NS
Reliance Industries,RELIANCE.NS
Renuka Sugar,RENUKA.NS
SHRIRAMFIN,SHRIRAMFIN.NS
SJS Enterprise,SJS.NS
Southbank,SOUTHBANK.NS
State Bank of India,SBIN.NS
State Bank of India,SBIN.NS
Steel Authority of India Limited,SAIL.NS
Sun Pharma,SUNPHARMA.NS
Surya Roshni Ltd,SURYAROSNI.NS
TATA CONSULTANCY SERVICES,TCS.NS
Tata Motors Limited,TMCV.NS
Tata Motors Passenger Vehicles Limited,TMPV.NS
Tata Power Company Ltd,TATAPOWER.NS
Tata Steel,TATASTEEL.NS
Tata Steel Ltd,TATASTEEL.NS
Techno Electric & Engineering Cmpany Ltd,TECHNOE.NS
TTK Prestige,PRESTIGE.NS
UCO Bank,UCOBANK.NS
Ujjivan Small Finance Bank,UJJIVANSFB.NS
Ujjivan Small Finance Bank Ltd,UJJIVANSFB.NS
Updater Services Limited,UDS.NS
VA Tech Wabag Limited,WABAG.NS
Varun Beverages,VBL.NS
Vedanta Ltd,VEDL.NS
Wipro,WIPRO.NS
Zensar Technologies Ltd,ZENSARTECH.NS
Zerodha Nifty 100 ETF,TOP100CASE.NS
Zydus Lifesciences Limited,ZYDUSLIFE.NS
